Soma Surface:,Number of Stems:,Number of Bifurcations:,Number of Branches:,Overall Width:,Overall Height:,Overall Depth:,Average Diameter:,Total Length:,Total Surface:,Total Volume:,Max Euclidean Distance:,Max Path Distance:,Max Branch Order:,Average Contraction:,Total Fragmentation:,Partition Asymmetry:,Average Rall's Ratio:,Average Bifurcation Angle Local:,Average Bifurcation Angle Remote:,Fractal Dimension:,Category
59.92,5,50,105,15.15,84.56,43.08,0.73,702.56,1606.31,296.3,50.69,104.7,10,0.89,306,0.5,2.03,57.1,102.61,1.08,4
29.56,3,51,105,13.2,86.39,49.07,0.73,769.26,1768.79,329.68,68.35,192.66,23,0.87,260,0.62,2.03,60.35,96.81,1.08,4
381.42,1,9,19,55.87,126.57,5.96,0.09,470.13,132.93,2.99,130.87,147.06,4,0.95,88,0.25,2,47.39,37.7,1.01,5
352.24,1,7,15,92.36,142.8,5.51,0.09,405.28,114.59,2.58,161.05,172.23,4,0.95,137,0.29,2,42.97,31.13,1.01,5
252.07,1,8,17,60.95,95.72,6.74,0.09,328.68,92.93,2.09,106.03,113.29,5,0.97,114,0.43,2,45.42,38.47,1.01,5
310.73,1,4,9,51.94,137.95,4.92,0.09,343.17,97.03,2.18,152.81,164.84,3,0.95,109,0.33,2,42.68,37.14,1.02,5
339.77,1,11,23,64.36,163.15,9.3,0.09,651.9,184.32,4.15,177.19,189.62,5,0.94,243,0.14,2,37.34,27.01,1.02,5
322.53,1,5,11,34.47,108.86,6.38,0.09,277.74,78.53,1.77,119.72,129.88,3,0.94,76,0.1,2,45.63,36.15,1.02,5
346.03,1,7,15,54.75,107.27,4.87,0.09,364.08,102.94,2.32,114.41,122.06,4,0.95,127,0.33,2,50.23,33.81,1.02,5
268.2,1,5,11,17.34,119.68,4.42,0.09,243.39,68.82,1.55,124.19,131.31,4,0.97,76,0.47,2,40.58,25.76,1.01,5
240.83,1,8,17,27.89,92.1,6.71,0.09,341.17,96.46,2.17,103.49,111.28,5,0.96,116,0.49,2,51.7,31.85,1.01,5
280.3,1,12,25,39.76,129.71,4.87,0.09,589.56,166.69,3.75,140.2,150.82,5,0.96,201,0.47,2,44.95,25.09,1.01,5
