Soma Surface:,Number of Stems:,Number of Bifurcations:,Number of Branches:,Overall Width:,Overall Height:,Overall Depth:,Average Diameter:,Total Length:,Total Surface:,Total Volume:,Max Euclidean Distance:,Max Path Distance:,Max Branch Order:,Average Contraction:,Total Fragmentation:,Partition Asymmetry:,Average Rall's Ratio:,Average Bifurcation Angle Local:,Average Bifurcation Angle Remote:,Fractal Dimension:,Category
86.74,6,9,24,39.34,24.85,10,0.67,165.23,364.51,68.5,31.52,38.82,4,0.91,84,0.33,1.35,79.69,65.66,1.04,4
49.61,4,2,8,21.95,11.17,10,0.6,65.65,124.95,19.59,17.03,20.02,2,0.85,41,0.5,1.61,85.52,63.29,1.06,4
70.89,6,5,16,40.86,19.57,14,0.6,133.25,258.21,43.47,26.3,33.94,2,0.89,92,0.4,2.09,70.24,64.9,1.05,4
78.09,9,162,333,8.37,105.41,78.35,0.77,1712.87,3948.05,757.9,77.01,137.74,31,0.87,1260,0.68,2.03,36.1,87.17,1.08,4
69.64,12,77,166,9.01,92.63,47.62,0.76,825.25,1922.28,374.02,57.91,112.15,19,0.9,537,0.62,2.04,91.83,97.85,1.08,4
78.83,9,51,111,80.83,45.31,8.5,0.84,690.91,1805.74,404.88,55.11,91.7,14,0.86,403,0.7,1.95,32.36,83.53,1.1,4
80.15,7,14,35,45.81,32.18,8,0.83,239.81,601.22,128.15,31.36,44.23,4,0.87,130,0.64,2,37.74,87.56,1.08,4
22.23,6,97,200,114.19,38.61,9,0.79,1135.04,2698.18,539.6,72.55,134.9,22,0.87,746,0.67,2.08,46.17,94.8,1.07,4
25.38,6,43,92,68.15,43.73,8,0.79,482.94,1178.09,244.25,46.94,88.45,13,0.89,367,0.63,2.03,40.22,89.22,1.07,4
52.06,6,23,52,35.02,27.43,9,0.8,255.88,614.8,125.08,32.36,58.43,8,0.87,190,0.4,2.05,35.74,87.04,1.07,4
38,6,131,268,100.18,66.34,9,0.77,1282.91,3031.02,609.34,70.98,129.98,21,0.87,928,0.67,2.04,42.34,92.32,1.08,4
53.87,4,130,264,91.27,64.97,8.5,0.79,1434.6,3397.08,683.99,62.84,175.38,27,0.87,1034,0.65,2.1,37.36,86.38,1.08,4
17.35,4,150,304,77.9,96.12,8.5,0.78,1655.53,3872.3,765.7,85.66,279.77,41,0.87,1104,0.66,2.06,43.04,89.66,1.08,4
69.26,7,129,265,111.63,58.61,8,0.75,1378.33,3145.65,595.54,82.25,183.32,32,0.87,958,0.69,2.04,41.28,88.01,1.08,4
52.45,7,71,149,83.29,57.48,9,0.81,943.85,2298.76,477.69,60.23,136.36,23,0.87,587,0.73,2.04,42.16,85.68,1.09,4
93.4,8,60,128,70.05,54.32,8.5,0.82,698.77,1710.64,356.27,52.05,100.3,16,0.89,409,0.59,1.95,43.5,90.33,1.06,4
68.62,6,157,320,122.49,77.66,8,0.82,1537.57,3775.61,784.98,78.34,189.14,30,0.87,1123,0.61,2.02,39.66,90.68,1.07,4
69.15,11,150,311,106.53,72.33,8.65,0.76,1513.46,3474.37,661.79,76.63,128.62,22,0.91,975,0.62,2.04,108.27,106.56,1.06,4
40.06,2,75,152,88.16,74.08,8.5,0.82,906.07,2227.67,464.34,59.07,141.8,20,0.88,599,0.69,2.05,43.55,92.79,1.07,4
52.48,5,17,39,30.71,41.41,8,0.78,214.14,519.18,109.85,38.53,79.51,11,0.86,137,0.69,2.19,38.67,87.16,1.05,4
158.09,11,109,229,8.8,68.34,91.88,0.76,1222.72,2948.23,592.23,79.51,193.24,33,0.91,766,0.66,2.08,101.55,103.19,1.06,4
89.29,5,166,337,149.34,74.23,9,0.77,1837.87,4266.25,829.78,92.28,170.5,32,0.88,1113,0.66,2.14,39.24,86.67,1.08,4
124.95,10,47,104,103.49,41.08,9,0.79,710.56,1641.35,319.02,74.77,91.15,11,0.86,342,0.66,1.97,44.44,96.53,1.09,4
66.2,8,136,280,129.96,70.92,9,0.77,1684,3911.7,766.09,94.35,327.38,39,0.87,1007,0.71,1.97,53.58,89.12,1.09,4
61.81,5,34,73,75.36,35.03,8.5,0.78,499.57,1190.91,235.4,49.46,85.32,10,0.89,346,0.61,2.01,40.47,90.56,1.06,4
110.55,7,86,179,77.42,57.71,8,0.78,789.78,1880.06,372.35,55.66,118.61,19,0.87,663,0.7,2.04,38.79,92.8,1.08,4
30.97,5,107,219,105.01,58.23,8,0.75,1095.75,2513.4,477.48,79.48,158.39,23,0.87,799,0.62,2.06,48.24,93.08,1.08,4
40.86,4,104,212,108.34,44.95,8,0.76,1085.59,2549.14,495.96,102.14,167.52,27,0.86,846,0.63,2.08,37.19,90.94,1.08,4
20.99,5,14,33,41.95,22.4,10.5,0.65,217.54,437.54,71.06,24.59,61.11,6,0.86,130,0.47,2.03,38.11,101.46,1.06,4
33.4,12,67,146,70.57,46.33,10.5,0.65,839.87,1715.58,285.35,53.33,103.2,14,0.88,506,0.63,2.04,38.46,86.14,1.08,4
100.72,14,41,96,53.64,36.22,9.5,0.66,505.42,1049.14,176.29,40.89,60.4,12,0.88,362,0.65,2.06,41.44,81.99,1.08,4
82.36,11,100,211,74.58,55.66,13.5,0.65,1123.4,2283.15,376.85,58.36,153.68,16,0.87,727,0.65,2.06,41.82,87.65,1.08,4
57.53,9,28,65,48.05,36.24,13.5,0.65,423.2,841.7,136.14,29.39,62.29,7,0.89,219,0.44,2.1,106.3,100.95,1.1,4
56.38,6,97,200,75.03,58,12.5,0.66,1036.77,2158.48,364.22,53.88,111.03,16,0.87,782,0.56,2.04,39.22,90.37,1.08,4
15.62,4,47,98,47.92,36.42,12.5,0.65,425.8,873.68,145.43,37.31,67.58,10,0.88,330,0.64,2.01,35.6,79.38,1.09,4
45.69,8,80,168,94.51,43.13,12,0.66,947.58,1957.44,330.34,66.24,116.99,19,0.88,685,0.63,2.03,46.93,88.99,1.07,4
80.16,10,57,124,73.29,48,12,0.65,749.67,1537.58,257.32,47.73,91.95,13,0.86,510,0.54,2.12,38.15,84.43,1.08,4
76.66,11,129,269,98.49,49.63,12.5,0.66,1316.02,2763.27,473.89,62.49,127.66,19,0.88,1029,0.6,2.04,45.65,89.78,1.07,4
57.55,9,73,155,52.86,44.52,12.5,0.67,690.29,1465.43,254.41,36.34,75.18,13,0.88,513,0.51,2.04,40.7,86.63,1.07,4
266.14,1,3,7,13.75,98.83,6.44,0.09,176.73,49.97,1.12,107.16,123.28,3,0.89,68,0.67,2,70.57,26.01,1.03,5
297.5,1,6,13,38.54,175.15,4.3,0.09,336.88,95.25,2.14,189.77,203.89,5,0.95,110,0.58,2,75.63,67.6,1.02,5
298.16,1,4,9,63.1,194.92,5.48,0.09,488.89,138.23,3.11,214.05,229.77,3,0.94,161,0.33,2,51.53,27.45,1.02,5
232.77,1,10,21,49.02,99.47,8.29,0.09,357.51,101.08,2.27,113.84,120.84,7,0.94,150,0.71,2,65.44,45.41,1.02,5
213.96,1,7,15,29.98,93.6,6.38,0.09,278.18,78.65,1.77,99.2,113.64,4,0.92,131,0.17,2,53.03,43.41,1.03,5
320.23,1,3,7,28.13,133.7,4.25,0.09,271.31,76.71,1.73,145.36,155.22,2,0.95,98,0,2,46.18,24.59,1.01,5
244.72,1,7,15,46.05,113.41,3.14,0.09,317.15,89.67,2.02,130.86,146.24,5,0.96,127,0.6,2,71.92,51.1,1.01,5
263.46,1,12,25,58.62,101.87,5.88,0.09,497.58,140.69,3.17,115.51,132.51,5,0.97,221,0.36,2,56.44,41.57,1.01,5
304.19,1,10,21,55.79,92.37,4.61,0.09,357.79,101.16,2.28,114.97,123.97,5,0.95,162,0.39,2,63.96,45.66,1.02,5
257.15,1,8,17,22.38,164.57,3.93,0.09,303.56,85.83,1.93,174.44,188.24,7,0.96,136,0.7,2,66.25,39.59,1.01,5
429.38,1,8,17,60.48,160.59,6.77,0.09,440.94,124.67,2.81,174.33,189.76,6,0.95,130,0.54,2,48.03,26.84,1.01,5
435.99,1,9,19,126.98,215,7.65,0.09,901.97,255.02,5.74,238.12,276.34,6,0.94,289,0.54,2,59.53,35.16,1.01,5
262.09,1,11,23,65.5,143.3,9.06,0.09,604.71,170.98,3.85,162.5,178.44,5,0.95,220,0.41,2,49.03,32.43,1.01,5
288.65,1,8,17,46.69,210.33,6.55,0.09,666.58,188.47,4.24,242.61,253.95,6,0.95,221,0.68,2,52.64,41.35,1.02,5
227.31,1,7,15,39.21,126.34,5.07,0.09,284.9,80.55,1.81,130.9,141.96,4,0.97,63,0.38,2,56.19,44.93,1.02,5
298.1,1,8,17,53.2,114.17,4.98,0.09,381.08,107.75,2.42,123.72,135.48,5,0.97,87,0.46,2,45.4,37.81,1.01,5
276.6,1,8,17,35.04,104.58,6.07,0.09,323.56,91.48,2.06,110.65,129.84,5,0.97,79,0.43,2,49.76,36.08,1.01,5
229.59,1,2,5,29.98,119.54,4.24,0.09,214.44,60.63,1.36,120.92,128.86,2,0.93,46,0.5,2,64.49,24.72,1.02,5
307.53,1,15,31,69.58,165.92,5.87,0.09,763.4,215.85,4.86,185,199.22,7,0.96,165,0.42,2,54.71,41.17,1.01,5
272.4,1,4,9,61.54,96.41,6.1,0.09,239.37,67.68,1.52,105.09,111.8,3,0.97,43,0.33,2,55.81,49.77,1.01,5
278.41,1,7,15,44.79,115.25,8.45,0.09,339.87,96.1,2.16,126.5,139.45,4,0.97,69,0.38,2,45.99,30.22,1.01,5
271.26,1,5,11,46.15,100.84,9.34,0.09,268.9,76.03,1.71,102.7,107.12,4,0.97,67,0.47,2,46.79,33.44,1.01,5
267.23,1,7,15,57.06,110.2,8.03,0.09,368.54,104.2,2.34,122.47,130.5,3,0.97,75,0,2,49.27,32.6,1.01,5
253.78,1,8,17,48.65,100.98,4.9,0.09,333.77,94.37,2.12,110.08,120.58,4,0.96,73,0.24,2,61.74,43.03,1.02,5
286.64,1,7,15,40.36,94.11,4.93,0.09,252.67,71.44,1.61,103.47,112.43,4,0.97,62,0.29,2,51.5,40.45,1.01,5
505.1,1,5,11,60.62,191.78,4.75,0.09,346.87,98.07,2.21,204.94,221.9,4,0.97,71,0.5,2,47.01,35.32,1.01,5
301.24,1,6,13,38.94,133.91,4.79,0.09,297.37,84.08,1.89,138.85,147.81,3,0.97,76,0.2,2,31.75,24.98,1.01,5
214.92,1,14,29,53.86,102.68,5.63,0.09,516.62,146.07,3.29,117.6,129.14,6,0.95,199,0.29,2,53.71,37.39,1.02,5
415.24,1,8,17,37.25,121.79,4.4,0.09,394.31,111.49,2.51,128.69,144.56,7,0.94,143,0.67,2,62.23,25.64,1.02,5
233.38,1,5,11,42.06,112.27,5.09,0.09,277.38,78.43,1.76,119.09,131.44,5,0.93,90,0.8,2,65.19,34.23,1.02,5
345.66,1,14,29,58,190.56,7.38,0.09,719.26,203.37,4.58,209.92,225.77,8,0.96,220,0.59,2,41.18,33.79,1.01,5
340.97,1,5,11,43.66,216.12,7.35,0.09,384.6,108.74,2.45,226.88,244.15,4,0.94,110,0.5,2,64.89,47.6,1.02,5
194.04,1,3,7,17.32,99.73,4.17,0.09,173.58,49.08,1.1,106.27,115.62,2,0.94,65,0,2,47.89,20,1.02,5
264.64,1,8,17,50.06,181.34,5.77,0.09,439.19,124.18,2.79,199.09,234.22,6,0.96,154,0.68,2,60.31,48.5,1.02,5
290.65,1,10,21,54.34,179.71,7.62,0.09,658.98,186.32,4.19,190.98,204.31,5,0.96,189,0.34,2,43.17,33.21,1.01,5
388.36,1,8,17,29.44,159.81,6.13,0.09,361.34,102.17,2.3,171.13,180.47,5,0.96,120,0.39,2,42.83,34.1,1.01,5
255.3,1,12,25,46.55,96.93,7.27,0.09,418.18,118.24,2.66,106.6,118.37,5,0.95,131,0.33,2,37.41,41.12,1.02,5
217.94,1,12,25,36.9,171.22,5.77,0.09,494.7,139.87,3.15,189.22,197.52,7,0.95,145,0.54,2,51.02,37.62,1.02,5
240.38,1,8,17,58.41,137.46,4.13,0.09,345.89,97.8,2.2,143.6,151.2,5,0.98,85,0.39,2,40.09,32.62,1.01,5
331.07,1,19,39,77.74,132.9,6.13,0.09,710.11,200.78,4.52,147.11,162.58,10,0.96,243,0.6,2,59.53,44.23,1.01,5
299.79,1,7,15,45.78,93.97,3.69,0.09,221.54,62.64,1.41,98.63,111.37,4,0.97,71,0.31,2,44.06,43,1.01,5
260.42,1,12,25,57.42,125.12,5.96,0.09,439.56,124.28,2.8,134.85,155.05,6,0.95,169,0.4,2,41.69,27.02,1.02,5
352.4,1,11,23,47.73,218.52,7.04,0.09,721.02,203.86,4.59,244,258.49,6,0.96,245,0.49,2,39.54,29.97,1.01,5
378.06,1,8,17,60.26,162.9,4.27,0.09,513.57,145.21,3.27,180.5,193.3,5,0.97,144,0.64,2,42.62,35.78,1.01,5
424.12,1,12,25,52.83,173.35,7.34,0.09,688.28,194.61,4.38,188.86,196.94,7,0.96,214,0.49,2,42.06,35.79,1.01,5
526.86,1,15,31,31.58,128.18,9.15,0.09,559.54,158.21,3.56,137.62,146.03,7,0.95,229,0.38,2,33.68,24.99,1.02,5
368.19,1,12,25,75.63,219.07,7.04,0.09,803.93,227.31,5.11,239.09,255.72,8,0.96,259,0.68,2,53.58,33.52,1.01,5
404.66,1,12,25,133.77,173.07,9.15,0.09,936.81,264.88,5.96,196.1,213.94,6,0.96,265,0.63,2,52.54,35.96,1.01,5
268.61,1,3,7,30.05,96.44,3.93,0.09,161.87,45.77,1.03,100.73,106.72,3,0.97,44,0.67,2,30.01,30.81,1.01,5
273.39,1,6,13,71.62,88.36,7.26,0.09,342.77,96.92,2.18,96.4,109.22,4,0.94,91,0.53,2,54.62,36.27,1.02,5
