Soma Surface:,Number of Stems:,Number of Bifurcations:,Number of Branches:,Overall Width:,Overall Height:,Overall Depth:,Average Diameter:,Total Length:,Total Surface:,Total Volume:,Max Euclidean Distance:,Max Path Distance:,Max Branch Order:,Average Contraction:,Total Fragmentation:,Partition Asymmetry:,Average Rall's Ratio:,Average Bifurcation Angle Local:,Average Bifurcation Angle Remote:,Fractal Dimension:,Category
173.55,6,308,622,91.56,62.47,36.68,0.84,1242.19,3074.17,696.513,71.29,99.65,49,0.93,1051,0.75,1.96,29.3,60.98,1.33,1
620.91,3,917,1837,32.18,142.82,34.7,0.75,3353.94,7661.78,1520.133,155.58,197.31,125,0.93,3050,0.79,1.99,27.57,60.3,1.33,1
134.9,6,1788,3582,93.11,303.39,58.5,0.98,7448.58,20523.5,5336.993,295.66,332.22,225,0.93,6057,0.81,1.96,29.8,62.85,1.05,1
384.37,4,159,322,30.12,124.57,30.96,0.98,764.48,2231.07,644.963,103.71,117.76,56,0.93,1117,0.77,1.85,35.89,78.01,1.03,1
317.58,6,632,1270,66.15,213.15,72.46,0.85,3815.35,9688.31,2229.353,224.52,256.3,107,0.95,5327,0.8,1.75,45.91,76.35,1.02,1
348.91,3,161,325,64.21,129.54,41.57,0.94,871.41,2458.03,637.753,128.18,146,57,0.96,1228,0.78,1.74,52.59,73.73,1.01,1
213.47,8,1360,2728,114.61,215.58,68.9,0.85,7926.28,19820.7,4580.683,208.55,223.81,110,0.93,11094,0.72,1.89,24.83,77.7,1.03,1
460.85,7,603,1213,82.71,200.96,52.11,0.94,3308.46,9113.27,24523,190.4,207.03,109,0.93,4657,0.74,1.9,21.47,73.88,1.03,1
387.36,8,939,1886,87.64,214.54,54.7,0.86,4731.12,11966.5,2779.093,170.82,197.94,115,0.93,6942,0.8,1.9,22.88,75.38,1.03,1
149.8,5,521,1047,74.57,184.25,57.99,0.89,2911.51,7795.18,1899.713,209.72,238.22,76,0.93,4143,0.76,1.91,25.96,77.7,1.02,1
185.2,3,344,691,83.36,223.36,38.78,0.71,1398.63,3023.69,547.363,230.44,259.06,100,0.96,2293,0.89,1.82,55.12,76.1,1.02,1
41.01,4,671,1346,88.55,284.47,53.46,0.87,3470.62,9339.75,2266.083,241.39,287.6,69,0.93,8639,0.84,1.89,22.3,79.49,1.03,1
160.67,4,654,1312,66.14,264.09,52.52,0.88,2854.57,7724.5,1864.433,250.92,290.42,126,0.96,7357,0.86,1.71,61.12,82.98,1.02,1
1390.06,7,49,105,116.12,276.02,85.29,0.92,1966.61,6300.22,2826.273,177.05,252.27,11,0.85,1355,0.55,1.27,84,66.49,1.04,2
691.07,2,2,6,10.15,70.71,21.26,1.21,96.58,446.88,209.483,42.35,48.98,2,0.94,30,0.5,1.25,106.73,108.37,1.02,2
1013.1,5,38,81,100.48,236.92,128.6,0.85,1847.44,5842.8,2234.443,148.49,227.83,9,0.83,1298,0.54,1.36,76.84,67.29,1.03,2
